2023-03-28 22:31:03,635 INFO    MainThread:100561 [wandb_setup.py:_flush():76] Configure stats pid to 100561
2023-03-28 22:31:03,636 INFO    MainThread:100561 [wandb_setup.py:_flush():76] Loading settings from /home/barry/.config/wandb/settings
2023-03-28 22:31:03,636 INFO    MainThread:100561 [wandb_setup.py:_flush():76] Loading settings from /home/barry/Desktop/uni/dbl2/JBG040-Group19/VIT/wandb/settings
2023-03-28 22:31:03,636 INFO    MainThread:100561 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-03-28 22:31:03,636 INFO    MainThread:100561 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-03-28 22:31:03,636 INFO    MainThread:100561 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'VIT/hope.py', 'program': '/home/barry/Desktop/uni/dbl2/JBG040-Group19/VIT/hope.py'}
2023-03-28 22:31:03,636 INFO    MainThread:100561 [wandb_init.py:_log_setup():506] Logging user logs to /home/barry/Desktop/uni/dbl2/JBG040-Group19/VIT/wandb/run-20230328_223103-k0izkxao/logs/debug.log
2023-03-28 22:31:03,636 INFO    MainThread:100561 [wandb_init.py:_log_setup():507] Logging internal logs to /home/barry/Desktop/uni/dbl2/JBG040-Group19/VIT/wandb/run-20230328_223103-k0izkxao/logs/debug-internal.log
2023-03-28 22:31:03,636 INFO    MainThread:100561 [wandb_init.py:init():546] calling init triggers
2023-03-28 22:31:03,636 INFO    MainThread:100561 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {'learning_rate': 3e-05, 'architecture': 'vit_tiny_patch16_224', 'dataset': 'XRay Dataset', 'epochs': 40}
2023-03-28 22:31:03,636 INFO    MainThread:100561 [wandb_init.py:init():602] starting backend
2023-03-28 22:31:03,636 INFO    MainThread:100561 [wandb_init.py:init():606] setting up manager
2023-03-28 22:31:03,637 INFO    MainThread:100561 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-03-28 22:31:03,638 INFO    MainThread:100561 [wandb_init.py:init():613] backend started and connected
2023-03-28 22:31:03,639 INFO    MainThread:100561 [wandb_init.py:init():701] updated telemetry
2023-03-28 22:31:03,643 INFO    MainThread:100561 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-03-28 22:31:04,023 INFO    MainThread:100561 [wandb_run.py:_on_init():2133] communicating current version
2023-03-28 22:31:04,092 INFO    MainThread:100561 [wandb_run.py:_on_init():2142] got version response 
2023-03-28 22:31:04,092 INFO    MainThread:100561 [wandb_init.py:init():789] starting run threads in backend
2023-03-28 22:31:04,123 INFO    MainThread:100561 [wandb_run.py:_console_start():2114] atexit reg
2023-03-28 22:31:04,123 INFO    MainThread:100561 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-03-28 22:31:04,124 INFO    MainThread:100561 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-03-28 22:31:04,124 INFO    MainThread:100561 [wandb_run.py:_redirect():2059] Redirects installed.
2023-03-28 22:31:04,124 INFO    MainThread:100561 [wandb_init.py:init():831] run started, returning control to user process
