2023-03-29 11:34:19,812 INFO    MainThread:36484 [wandb_setup.py:_flush():76] Configure stats pid to 36484
2023-03-29 11:34:19,813 INFO    MainThread:36484 [wandb_setup.py:_flush():76] Loading settings from /home/barry/.config/wandb/settings
2023-03-29 11:34:19,813 INFO    MainThread:36484 [wandb_setup.py:_flush():76] Loading settings from /home/barry/Desktop/uni/dbl2/JBG040-Group19/VIT/wandb/settings
2023-03-29 11:34:19,813 INFO    MainThread:36484 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-03-29 11:34:19,813 INFO    MainThread:36484 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-03-29 11:34:19,813 INFO    MainThread:36484 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'VIT/hope.py', 'program': '/home/barry/Desktop/uni/dbl2/JBG040-Group19/VIT/hope.py'}
2023-03-29 11:34:19,813 INFO    MainThread:36484 [wandb_init.py:_log_setup():506] Logging user logs to /home/barry/Desktop/uni/dbl2/JBG040-Group19/VIT/wandb/run-20230329_113419-4pku6ko5/logs/debug.log
2023-03-29 11:34:19,813 INFO    MainThread:36484 [wandb_init.py:_log_setup():507] Logging internal logs to /home/barry/Desktop/uni/dbl2/JBG040-Group19/VIT/wandb/run-20230329_113419-4pku6ko5/logs/debug-internal.log
2023-03-29 11:34:19,813 INFO    MainThread:36484 [wandb_init.py:init():546] calling init triggers
2023-03-29 11:34:19,814 INFO    MainThread:36484 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {'learning_rate': 3e-05, 'architecture': 'vit_tiny_patch16_224', 'dataset': 'XRay Dataset', 'epochs': 70, 'dropout': 0.4, 'drop_path_rate': 0.1}
2023-03-29 11:34:19,814 INFO    MainThread:36484 [wandb_init.py:init():602] starting backend
2023-03-29 11:34:19,814 INFO    MainThread:36484 [wandb_init.py:init():606] setting up manager
2023-03-29 11:34:19,816 INFO    MainThread:36484 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-03-29 11:34:19,820 INFO    MainThread:36484 [wandb_init.py:init():613] backend started and connected
2023-03-29 11:34:19,822 INFO    MainThread:36484 [wandb_init.py:init():701] updated telemetry
2023-03-29 11:34:19,826 INFO    MainThread:36484 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-03-29 11:34:20,192 INFO    MainThread:36484 [wandb_run.py:_on_init():2133] communicating current version
2023-03-29 11:34:20,262 INFO    MainThread:36484 [wandb_run.py:_on_init():2142] got version response 
2023-03-29 11:34:20,262 INFO    MainThread:36484 [wandb_init.py:init():789] starting run threads in backend
2023-03-29 11:34:20,294 INFO    MainThread:36484 [wandb_run.py:_console_start():2114] atexit reg
2023-03-29 11:34:20,295 INFO    MainThread:36484 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-03-29 11:34:20,295 INFO    MainThread:36484 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-03-29 11:34:20,295 INFO    MainThread:36484 [wandb_run.py:_redirect():2059] Redirects installed.
2023-03-29 11:34:20,295 INFO    MainThread:36484 [wandb_init.py:init():831] run started, returning control to user process
2023-03-29 11:34:32,464 WARNING MsgRouterThr:36484 [router.py:message_loop():77] message_loop has been closed
